preview,availability_flag_raw,title_raw,date_label,dimensions_raw,medium_raw,price_raw,notes_raw,status_normalized,location_clean,include_in_catalog,catalog_ready,catalog_blocker,catalog_notes_public,submission_history,image_main,image_id_manual,source_year,source_row,artwork_id,title_clean,year,dimensions_clean,medium_clean,support_clean,price_eur,price_display_clean
,No,Correremos grandes aventuras pero hay que organizarse (Tríptico),01/26,90x60 (3 partes),"Acrílico, spray, grafito y ceras sobre lienzo.",3.160€,Encargo hecho en El Grifo y recogido allí.,commissioned,El Grifo,TRUE,TRUE,,Obra no disponible.,,https://drive.google.com/file/d/1wF4Z6GeBaak64XIvIjiA8rVHnPoUrDLo/view?usp=drive_link,1wF4Z6GeBaak64XIvIjiA8rVHnPoUrDLo,2026,1,LA-2026-001,Correremos grandes aventuras pero hay que organizarse,2026,90 x 60 cm (3 partes),"Acrílico, spray, grafito y ceras",lienzo,3160,3.160 €
,Si,Perrete en tablillas 01,01/26,23x16,"Acrílico, ceras, lápices de colores y grafito sobre cartón.",260€,Residencia Escala House 07.01/20.02 / El Grifo,available,El Grifo,TRUE,TRUE,,,,https://drive.google.com/file/d/1iXk0UatWTazyXYKq2DXNuygu4F-H-hWX/view?usp=drive_link,1iXk0UatWTazyXYKq2DXNuygu4F-H-hWX,2026,2,LA-2026-002,Perrete en tablillas 01,2026,23 x 16 cm,"Acrílico, ceras, lápices de colores y grafito",cartón,260,260 €
,Si,Perrete en tablillas 02,01/26,23x16,"Acrílico, ceras, lápices de colores y grafito sobre cartón.",260€,Residencia Escala House 07.01/20.02 / El Grifo,available,El Grifo,TRUE,TRUE,,,,https://drive.google.com/file/d/1nNJ3HfttjkuvFuLvPqi4AUN275yjdDtp/view?usp=drive_link,1nNJ3HfttjkuvFuLvPqi4AUN275yjdDtp,2026,3,LA-2026-003,Perrete en tablillas 02,2026,23 x 16 cm,"Acrílico, ceras, lápices de colores y grafito",cartón,260,260 €
,Si,More human than human,01/26,33x24,Collage de técnicas mixtas sobre madera.,480€,Residencia Escala House 07.01/20.02 / El Grifo,available,El Grifo,TRUE,TRUE,,,,https://drive.google.com/file/d/1JmAftoLlWkulR3QccyIvHFfCvWhiVPzs/view?usp=drive_link,1JmAftoLlWkulR3QccyIvHFfCvWhiVPzs,2026,4,LA-2026-004,More human than human,2026,33 x 24 cm,Collage de técnicas mixtas,madera,480,480 €
,Si,Same path,01/26,23x19,"Acrílico, ceras, lápices de colores y grafito sobre lienzo en bastidor.",320€,Residencia Escala House 07.01/20.02 / El Grifo,available,El Grifo,TRUE,TRUE,,,,https://drive.google.com/file/d/1voYpVYHyrW_w-YmrfLDRGNzrg2PR95Kx/view?usp=drive_link,1voYpVYHyrW_w-YmrfLDRGNzrg2PR95Kx,2026,5,LA-2026-005,Same path,2026,23 x 19 cm,"Acrílico, ceras, lápices de colores y grafito",lienzo en bastidor,320,320 €
,Si,Corriendo en bici,01/26,20x20,"Acrílico, ceras, lápices de colores y grafito sobre panel entelado.",230€,Residencia Escala House 07.01/20.02 / El Grifo,available,El Grifo,TRUE,TRUE,,,,https://drive.google.com/file/d/1sWpcNCWw34uGJ34B6ulwRIBA5uzFg78R/view?usp=drive_link,1sWpcNCWw34uGJ34B6ulwRIBA5uzFg78R,2026,6,LA-2026-006,Corriendo en bici,2026,20 x 20 cm,"Acrílico, ceras, lápices de colores y grafito",panel entelado,230,230 €
,No,El libre corretear de Mila,01/26,20x20,"Acrílico, ceras, lápices de colores y grafito sobre lienzo en bastidor.",320€,Residencia Escala House 07.01/20.02 / Regalo a familia de Alejandra Glez.,gifted,familia de Alejandra Glez,TRUE,TRUE,,Obra histórica; no disponible.,,https://drive.google.com/file/d/1Gpj9DFkBToPZ7yE9qtzQrdDV48_j5e4D/view?usp=drive_link,1Gpj9DFkBToPZ7yE9qtzQrdDV48_j5e4D,2026,7,LA-2026-007,El libre corretear de Mila,2026,20 x 20 cm,"Acrílico, ceras, lápices de colores y grafito",lienzo en bastidor,320,320 €
,Si,Nice to meet you (dame esta mano que la otra me duele),01/26,20x20,"Acrílico, ceras, lápices de colores y grafito sobre panel entelado.",230€,Residencia Escala House 07.01/20.02 / El Grifo,available,El Grifo,TRUE,TRUE,,,,https://drive.google.com/file/d/1XrzyTPfiDPkxhszz0JZ8IVHEmN0PZaDj/view?usp=drive_link,1XrzyTPfiDPkxhszz0JZ8IVHEmN0PZaDj,2026,8,LA-2026-008,Nice to meet you (dame esta mano que la otra me duele),2026,20 x 20 cm,"Acrílico, ceras, lápices de colores y grafito",panel entelado,230,230 €
,Si,La despreocupación total suele durar poco,02/26,20x20,"Collage, acrílico, cerás, lápices de colores y grafito sobre lienzo.",320€,Residencia Escala House 07.01/20.02 / El Grifo,available,El Grifo,TRUE,TRUE,,,,https://drive.google.com/file/d/1VKou15b5P-2ol2TzxmGbkepkzvAM4Hvh/view?usp=drive_link,1VKou15b5P-2ol2TzxmGbkepkzvAM4Hvh,2026,9,LA-2026-009,La despreocupación total suele durar poco,2026,20 x 20 cm,"Collage, acrílico, ceras, lápices de colores y grafito",lienzo,320,320 €
,Si,"En otros planetas hay otras texturas, ¡pues claro!",02/26,20x20,"Collage, acrílico, cerás, lápices de colores y grafito sobre lienzo.",320€,Residencia Escala House 07.01/20.02 / El Grifo,available,El Grifo,TRUE,TRUE,,,,https://drive.google.com/file/d/13FVc7dV8KPJJV7wcMW0Plv1Kqco5MpBE/view?usp=drive_link,13FVc7dV8KPJJV7wcMW0Plv1Kqco5MpBE,2026,10,LA-2026-010,"En otros planetas hay otras texturas, ¡pues claro!",2026,20 x 20 cm,"Collage, acrílico, ceras, lápices de colores y grafito",lienzo,320,320 €
